Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
TAMAN SPPK,Ipoh,Perak,Leasehold,"Terrace House, Semi D",250000,146,11
TAMAN SEMANTAN INDAH,Mentakab,Pahang,Freehold,Terrace House,257500,146,10
TAMAN BANDAR UTAMA TAMPIN,Tampin,Negeri Sembilan,Freehold,"Semi D, Terrace House",299473,145,47
BANDAR EKAR,Rantau,Negeri Sembilan,Freehold,Terrace House,235789,145,42
AMAN CITIES,Batu Gajah,Perak,Leasehold,Terrace House,231300,145,14
TAMAN KLEBANG EHSAN,Ipoh,Perak,Leasehold,"Semi D, Bungalow",328800,145,12
TAMAN AMPANGAN,Paroi,Negeri Sembilan,Freehold,"Semi D, Terrace House",230000,145,12
TAMAN DESA BIDARA,Kuala Ketil,Kedah,Freehold,Terrace House,215000,144,17
TAMAN TUALANG INDAH,Mentakab,Pahang,Freehold,Terrace House,210000,144,13
TAMAN MAJU JASIN,Jasin,Melaka,Leasehold,"Cluster House, Terrace House",220000,144,11
TAMAN SERAI RESIDENSI,Padang Serai,Kedah,Freehold,"Terrace House, Semi D",199800,143,136
YARRA PARK (RESIDENSI SINAR),Sungai Petani,Kedah,Freehold,Terrace House,200000,143,28
P/L143461 SERI MAHKOTA DAMAI FASA 6,Kuantan,Pahang,Freehold,Terrace House,236000,143,13
TAMAN NESA DELIMA,Rantau,Negeri Sembilan,Freehold,Semi D,401531,143,10
TAMAN SERI AMAN,Masjid Tanah,Melaka,Freehold,Terrace House,200000,142,19
TAMAN IMPIAN JAYA,Senai,Johor,Leasehold,Terrace House,411000,142,14
RESIDENSI MESRA,Gurun,Kedah,Freehold,Terrace House,232000,141,76
TAMAN GAMBANG DAMAI / DESA HIJAUAN,Hulu Lepar,Pahang,Leasehold,Terrace House,181500,141,30
TAMAN BUKIT PERDANA,Kluang,Johor,Freehold,Cluster House,343400,140,181
TAMAN VISTA JAYA,Port Dickson,Negeri Sembilan,Leasehold,Terrace House,175000,140,12
BANDAR BARU SETIA AWAN PERDANA,Sitiawan,Perak,Freehold,"Cluster House, Terrace House",245000,139,128
TAMAN RIMBA EMAS,Mentakab,Pahang,Freehold,"Semi D, Terrace House",397900,139,12
TAMAN CEMPAKA INDAH (PEC LOT 8029),Triang,Pahang,Freehold,Terrace House,288000,139,12
Taman Sri Cahaya,Kuching,Sarawak,Leasehold,"Flat, Apartment",65500,139,12
TAMAN BERTAM HEIGHTS,Tanjong Minyak,Melaka,Freehold,Terrace House,180000,138,50
PD Marina World Resort,Port Dickson,Negeri Sembilan,Freehold,Condominium,90500,138,18
Taman Soga,Batu Pahat,Johor,Freehold,Flat,85000,138,17
Taman Anika,Melaka City,Melaka,Leasehold,Flat,78000,138,17
BB SETIA AWAN PERDANA RESIDEN 1,Sitiawan,Perak,Freehold,"Cluster House, Terrace House",220000,138,10
BANDAR AMANJAYA (ZON KENANGA),Sungai Petani,Kedah,Freehold,Semi D,320000,136,37
TAMAN ANJUNG GAPAM,Bemban,Melaka,Leasehold,Bungalow,632000,136,32
TAMAN RIA MESRA 2,Gurun,Kedah,Freehold,"Terrace House, Semi D",210000,136,30
TAMAN SUNGAI RAMBAI MESRA,Sungai Rambai,Melaka,Freehold,Cluster House,367000,136,29
HUTAN MELINTANG RESIDENCE,Hutan Melintang,Perak,Freehold,"Terrace House, Semi D",438800,136,19
TAMAN PD UTAMA,Port Dickson,Negeri Sembilan,Freehold,Terrace House,195000,136,18
TAMAN VISTA KIRANA,Bukit Katil,Melaka,Leasehold,"Bungalow, Semi D",707000,136,17
BANDAR BESTARI PERMAI,Kuala Ketil,Kedah,Freehold,Terrace House,237500,136,14
Taman Permata,Bukit Mertajam,Penang,Freehold,Flat,75000,136,12
TAMAN SAUJANA SEKSYEN 2 (TAMAN SETIA),Bukit Katil,Melaka,Freehold,"Semi D, Town House",200000,136,10
Nilai 3,Nilai,Negeri Sembilan,Freehold,Apartment,100000,135,16
T.VISTA @ BALOK PERMAI (P/L :15153),Sungai Karang,Pahang,Leasehold,Terrace House,340000,134,11
TAMAN MALIHAH,Kuching,Sarawak,Leasehold,Terrace House,248000,133,19
RMM BANJARAN SERAPI,Kuching,Sarawak,Leasehold,Terrace House,234000,133,14
Taman Sri Harmoni,Kuching,Sarawak,Leasehold,Flat,66000,133,12
Taman Inderawasih,Perai,Penang,Freehold,Flat,70000,133,11
TAMAN BIDOR BISTARI,Bidor,Perak,Leasehold,Terrace House,185000,132,31
TAMAN DESA PD,Linggi,Negeri Sembilan,Freehold,Terrace House,180000,131,66
TAMAN KAMUNTING PUTRA FASA 1,Kamunting,Perak,Leasehold,Terrace House,171000,131,63
TAMAN MAWAR INDAH,Raub,Pahang,Freehold,Semi D,420000,131,25
KAWASAN ABDUL SAMAD/MARIMAH,Johor Bahru,Johor,Freehold,"Semi D, Cluster House",980000,131,13
TAMAN BUNGA RAYA,Sungai Petani,Kedah,Freehold,"Terrace House, Semi D",230000,131,11
PUTERI RESIDENCE,Sungai Petani,Kedah,Freehold,Semi D,420000,131,10
TAMAN LAGENDA TROPIKA TAPAH,Chenderiang,Perak,Freehold,Terrace House,229954,130,414
BANDAR SIBU JAYA,Sibu,Sarawak,Leasehold,Terrace House,200000,130,31
PD Tiara Bay,Pasir Panjang,Negeri Sembilan,Freehold,Apartment,53000,130,15
LAMAN ASPIRASI (BANTING),Banting,Selangor,Freehold,"Semi D, Terrace House",180000,129,104
BB SETIA AWAN PERDANA RESIDEN 7,Sitiawan,Perak,Freehold,Cluster House,248000,129,20
"P/L 1280, KAMPUNG KOLAM",Rompin,Pahang,Freehold,Terrace House,210000,129,18
TAMAN PENGKALAN MINYAK DAMAI,Ayer Molek,Melaka,Freehold,"Terrace House, Cluster House",337834,129,16
TAMAN JUJUR,Sikamat,Negeri Sembilan,Freehold,Cluster House,143000,129,11
RASAH KEMAYAN (KEMAYAN COUNTRY TOWNSHIP),Rasah,Negeri Sembilan,Freehold,Bungalow,620000,128,23
TAMAN PUTERI,Kluang,Johor,Freehold,Terrace House,160000,128,19
TAMAN MASJID TANAH PERDANA,Masjid Tanah,Melaka,Freehold,Semi D,410000,128,14
TAMAN AIR PUTIH PERMAI (PL 30779),Taiping,Perak,Freehold,Semi D,369900,128,11
TAMAN SRI REMBAU,Rembau,Negeri Sembilan,Freehold,"Semi D, Terrace House",280000,128,11
KAMPUNG PANDAN DALAM,Ampang,Selangor,Leasehold,"Bungalow, Semi D",372500,128,10
TAMAN PUNCAK KASIH MERLIMAU PASIR,Merlimau,Melaka,Freehold,Terrace House,179800,127,53
TAMAN SENIMAS,Kuala Pilah,Negeri Sembilan,Freehold,"Terrace House, Bungalow",199000,127,15
TAMAN LAGENDA TELUK INTAN,Teluk Intan,Perak,Leasehold,"Terrace House, Cluster House",236594,126,309
BERIS MERAGA,Kijal,Terengganu,Freehold,"Semi D, Terrace House",320000,126,81
PD Perdana,Port Dickson,Negeri Sembilan,Freehold,Apartment,95000,126,21
TAMAN GEMILANG,Seri Iskandar,Perak,Leasehold,"Semi D, Terrace House",370000,126,13
TAMAN RAMBAI TENGAH SENTOSA,Bukit Rambai,Melaka,Freehold,Semi D,422300,126,10
TAMAN KIRANA,Kluang,Johor,Leasehold,Terrace House,170800,125,188
DESA RENING,Rasa,Selangor,Leasehold,"Terrace House, Semi D",439928,125,32
BANDAR SEGAMAT BARU,Segamat,Johor,Freehold,"Bungalow, Terrace House",220000,125,21
Taman Setia Jaya,Alor Setar,Kedah,Freehold,Flat,68000,124,19
Cocobay Resort,Port Dickson,Negeri Sembilan,Freehold,Condominium,90000,124,15
TAMAN KAMPAR BESTARI,Kampar,Perak,Leasehold,"Terrace House, Semi D",269800,123,27
TAMAN SRI BAYU,Sepang,Selangor,Freehold,"Semi D, Terrace House",267000,123,17
TAMAN SRI ANGGERIK,Rantau,Negeri Sembilan,"Freehold, Leasehold",Terrace House,190000,122,11
TAMAN CEMPAKA INDAH,Teloi Kiri,Kedah,Freehold,"Semi D, Terrace House",195000,122,10
TAMAN PERWIRA JAYA,Tapah,Perak,Leasehold,Terrace House,169000,121,35
Taman Machang Bubok,Bukit Mertajam,Penang,Freehold,Flat,71000,121,14
P/L : 2195 (PT24541-PT24570),Sungai Karang,Pahang,Freehold,Semi D,380000,121,10
"TAMAN ALAMANDA, BANDAR BARU SEGARI",Lumut,Perak,Leasehold,Terrace House,155500,120,53
TAMAN PUTERIMAS (KLUANG),Kluang,Johor,Freehold,Terrace House,250750,119,89
JALAN INDAH,Sibu,Sarawak,Leasehold,Terrace House,267500,119,14
BANDAR PUTERI JAYA SEKSYEN 3,Sungai Petani,Kedah,Freehold,"Semi D, Terrace House",370000,118,26
TAMAN CEMPAKA (TELUI KIRI),Teloi Kiri,Kedah,Freehold,Terrace House,180000,118,16
TAMAN BIDARA PALMA,Sungei Baru Tengah,Melaka,Freehold,Terrace House,240000,118,11
TAMAN CASSIA,Alor Setar,Kedah,Freehold,Semi D,300000,117,30
"SKIM PERUMAHAN PERAKKU, TANJUNG TUALANG",Tanjong Tualang,Perak,Leasehold,Terrace House,180000,117,27
Laguna Condo Resort,Port Dickson,Negeri Sembilan,Freehold,Condominium,95000,117,20
TAMAN APAS PERMAI,Tawau,Sabah,Leasehold,Terrace House,195000,117,16
BB SETIA AWAN PERDANA RESIDEN 2,Sitiawan,Perak,Freehold,"Cluster House, Bungalow",240000,117,14
TAMAN RAIA PERDANA,Gopeng,Perak,Leasehold,Terrace House,140000,117,11
Cempaka,Serendah,Selangor,Leasehold,Apartment,85000,117,11
TAMAN DELIMA,Sungai Petani,Kedah,Freehold,"Terrace House, Semi D",260000,115,15
KAMPUNG MAK CHILI,Kemaman,Terengganu,Freehold,"Bungalow, Semi D",330000,115,12
TAMAN PERMAI INDAH FASA 2,Kuala Lipis,Pahang,Freehold,"Terrace House, Semi D",326300,115,10
TAMAN BUKIT REBANA [SP HEIGHTS],Sungai Petani,Kedah,Freehold,Semi D,300000,114,28
Rumah Pangsa College Heights Pajam,Mantin,Negeri Sembilan,Freehold,Flat,70000,114,20
TAMAN PIASAU,Miri,Sarawak,Leasehold,Bungalow,680000,114,11
BANDAR BARU BUKIT MENTOK,Kemaman,Terengganu,Leasehold,Terrace House,213000,113,17
Ocean View Resort,Port Dickson,Negeri Sembilan,Freehold,"Condominium, Service Residence",84000,111,16
PULAU SERAI / G BINJAI / DARAT PELANDANG,Dungun,Terengganu,Freehold,"Bungalow, Semi D",340000,111,15
TAMAN SENAI JAYA,Senai,Johor,Freehold,Terrace House,170000,110,45
TAMAN KLUANG PERDANA,Kluang,Johor,Freehold,"Semi D, Terrace House",199900,110,39
TAMAN PANTAI SEPANG PUTRA,Sepang,Selangor,Freehold,Bungalow,400000,109,35
KAMPUNG BARU KERTIH,Kerteh,Terengganu,"Freehold, Leasehold","Semi D, Terrace House",350000,108,38
TAMAN SAUJANA,Kluang,Johor,Freehold,Terrace House,150000,107,117
TAMAN SETIA MUTIARA,Kluang,Johor,Freehold,"Terrace House, Semi D",150000,107,69
TAMAN PARKLAND,Kluang,Johor,Freehold,Terrace House,150000,107,41
TAMAN SENGGARANG,Senggarang,Johor,Freehold,Terrace House,150000,107,36
BANDAR BARU TANGKAK,Tangkak,Johor,Freehold,"Terrace House, Cluster House",288800,107,20
TAMAN SRI NOVA UTAMA,Tampin,Negeri Sembilan,Freehold,"Semi D, Terrace House",401900,107,14
TAMAN GURUN JAYA,Gurun,Kedah,Freehold,"Terrace House, Semi D",206500,107,14
Kondo Rakyat,Kuala Ibai,Terengganu,Leasehold,Flat,66500,106,26
"TAMAN SRI JAYA, SRI AMAN",Sri Aman,Sarawak,"Leasehold, Freehold",Terrace House,295000,106,10
BANDAR TASIK SENANGIN,Lenggeng,Negeri Sembilan,Freehold,Bungalow,435000,105,53
TAMAN SCIENTEX KOTA TINGGI,Kota Tinggi,Johor,Leasehold,Terrace House,80000,104,105
PERWIRA SERI ISKANDAR,Seri Iskandar,Perak,Leasehold,Terrace House,145000,104,92
TAMAN MEGA RIA 2,Tangkak,Johor,Freehold,Terrace House,100000,104,10
TAMAN ASTANA CHEMOR,Ipoh,Perak,Leasehold,Terrace House,90000,102,31
Desa Lembah Permai,Ampang,Selangor,Leasehold,Flat,67000,102,23
Rasah Jaya Flat,Rasah,Negeri Sembilan,Freehold,Flat,68000,102,22
TAMAN MENTAKAB INDAH,Mentakab,Pahang,Freehold,Terrace House,105500,101,22
TAMAN NILAM,Kuah,Kedah,Leasehold,Terrace House,145000,101,14
TAMAN MELOR JAYA,Gerisek,Johor,Freehold,Terrace House,165000,100,47
BANDAR BOTANI PARKLAND,Jasin,Melaka,Freehold,Terrace House,120700,100,35
Taman Seruling Emas,Sungai Jawi,Penang,Freehold,Flat,55000,100,15
TAMAN INDUSTRI SRI SULONG,Batu Pahat,Johor,Freehold,"Semi D, Terrace House",235000,100,11
PERMAIPURA VILLA,Sungai Lalang,Kedah,Freehold,Bungalow,548000,98,14
KAMPUNG BATU TIONG / BATU GEDUP,Dungun,Terengganu,Freehold,Semi D,350000,98,13
MUKIM MACHANG,Machang,Kelantan,Freehold,Bungalow,342500,97,10
BERJAYA PERMAI,Kuantan,Pahang,Leasehold,"Semi D, Terrace House",200000,96,10
TAMAN SRI LAMBAK,Simpang Rengam,Johor,Leasehold,Bungalow,335000,95,32
TAMAN IMPIANA KESANG,Bemban,Melaka,Leasehold,Terrace House,128730,92,288
Apartment Dahlia,Serendah,Selangor,Freehold,Flat,65000,86,19
PERKAMPUNGAN KERTIH,Kerteh,Terengganu,"Freehold, Leasehold","Bungalow, Semi D",360000,83,11
"TAMAN IDAMAN, SUNGAI SEGAMAT",Segamat,Johor,Leasehold,Terrace House,117500,81,36
PERUMAHAN MAKMUR GAMBANG JAYA 1 (PRIMA),Kuantan,Pahang,Leasehold,Semi D,230000,79,13
Kenanga Apartment,Serendah,Selangor,Freehold,Flat,50000,77,15
Taman Impian Emas,Tebrau,Johor,Freehold,Flat,53000,77,13
RPA BEMBAN II,Batu Gajah,Perak,Leasehold,Terrace House,97500,77,10
RPA RIMBA PANJANG,Sungai Siput,Perak,Leasehold,Terrace House,115000,77,10
TAMAN EMAS BIDOR,Bidor,Perak,Leasehold,Terrace House,90000,75,37
TAMAN PAGOH JAYA - TR 428,Pagoh,Johor,Freehold,Terrace House,80000,74,156
R.P.R RANGAU,Limbang,Sarawak,Freehold,Terrace House,80000,74,12
RUMAH MAKMUR KAMPUNG TIRAM,Kuantan,Pahang,Leasehold,Terrace House,80000,73,22
Perai Jaya,Perai,Penang,Leasehold,Flat,43000,73,17
LEMBAH BERINGIN,Kuala Kubu Baru,Selangor,Freehold,Terrace House,155000,70,23
TAMAN PENAWAR HARMONI,Pengerang,Johor,Leasehold,Terrace House,80000,67,60
TAMAN BUKIT SENAWANG PERDANA,Rantau,Negeri Sembilan,Freehold,Terrace House,80000,67,52
TAMAN BAKTI [YNS],Labu,Negeri Sembilan,Freehold,Terrace House,80000,67,48
TAMAN ANGSAMAS 2,Rasah,Negeri Sembilan,Freehold,Terrace House,80000,67,27
TAMAN JUASSEH SENTOSA,Juasseh,Negeri Sembilan,Freehold,Terrace House,81500,67,22
TAMAN RAIA PERMAI,Simpang Pulai,Perak,Leasehold,Terrace House,85000,65,30
SUNGAI ISAP DAMAI,Kuantan,Pahang,Leasehold,"Semi D, Bungalow",260000,65,12
Taman Kajang Perdana,Kajang,Selangor,Leasehold,Flat,42000,64,16
TAMAN PGBF FELDA PASOH 1,Simpang Pertang,Negeri Sembilan,Leasehold,Terrace House,90000,64,12
TAMAN PGBF HARMONI PASIR BESAR,Gemas,Negeri Sembilan,Leasehold,Terrace House,90000,64,10
KUALA BERANG,Hulu Terengganu,Terengganu,"Freehold, Leasehold","Bungalow, Terrace House",200000,62,53
PERUMAHAN MAKMUR KUALA LANAR INDAH JAYA,Kuala Lipis,Pahang,Leasehold,Terrace House,80000,61,21
KAMPUNG CHERANG RUKU,Cherang Ruku,Kelantan,Freehold,"Terrace House, Bungalow",325000,61,13
TAMAN BUKIT PERMATA,Selayang,Selangor,Freehold,Terrace House,310281,56,41
Apartment Seri Bakawali,Serendah,Selangor,Freehold,Apartment,36000,54,11
"PRIMA PAHANG KAMPUNG BATU 6, LEPAR",Kuantan,Pahang,Leasehold,"Bungalow, Semi D",152660,51,16
TAMAN PERAKKU SERDANG,Sitiawan,Perak,Leasehold,Terrace House,116000,50,56
Seri Baiduri,Ulu Tiram,Johor,Freehold,Apartment,35000,50,28
PERUMAHAN MAKMUR KUALA LANAR JAYA,Kuala Lipis,Pahang,Leasehold,Semi D,150000,48,18
TAMAN BINTULU JAYA,Bintulu,Sarawak,Freehold,Terrace House,80000,44,19
RPA SRI TANJUNG,Sungai Petani,Kedah,Freehold,Terrace House,27049,43,41
TAMAN WIRA (RPA MERGONG),Alor Setar,Kedah,Freehold,Terrace House,39600,38,23
